call_type,description
72HR,VEH VIOLATING 72HR PARKING RES
911,"UNK EMERG,HANG UP/OPEN LINE"
911P,"UNK EMER,HANGUP/OPEN,PAYFONE"
ALERT2,AIRPLANE PROBLEM
ALERT3,AIRPLANE CRASH
ALERT4,BOMB/HIJACK THREAT
AMBER,AMBER ALERT INFO
ANIMAL,VICIOUS ANIMAL
APPT,APPOINTMENT
ASST,ASSIST THE INVALID
ATL,ATTEMPT TO LOCATE A/U
AU-MP,MISSING PERSON ALL UNITS INFO
AU1,ALL UNITS INFORMATION-PRI 1
AU10851,AUTO THEFT ALL UNITS INFO
AU1171,ALL UNITS FIRE INFO-PRI 1
AU187,MURDER-ALL UNITS INFORMATION
AU2,ALL UNITS INFORMATION-PRI 2
AU211,ROBBERY-ALL UNITS INFORMATION
AU215,CAR JACK-ALL UNITS INFORMATION
AU23103,RECKLESS DRIVING-ALL UNITS
AU23152,DWI-ALL UNITS INFORMATION
AU245,ADW-ALL UNITS INFORMATION
AUHATE,HATE INCIDENT ALL UNITS INF
BIO,BIOHAZARD-DESK CALL
BIOALARM,((ANTHRAX ALARM)))   
BLOOD,BLOOD RUN
BLUE,TAXI OR BUS NEEDS HELP  
BOL,AU INFO/USED BY DESK OR RADIO
BOMB,"BOMB THREAT, DESK CALL"
BOMB-S,"BOMB THREAT,DESK CAL L(SCHOOL)"
C10,SWAT STAGING
C100,ATTACK ON PD FACILITY
C11,SWAT STAGING
C11CR,SWAT STAGING COST RECOVERY
C12,SWAT EMERGENCY RESPONSE
C5,STAKEOUT
C6,STAYOUT OF AREA/NO RADIO TRANS
C7,LUNCH
CAN,1186 STATE GRANT ACTIVITY
CC,CITIZEN CONTACT
CCCC,CHRONIC COMM CALLER CONTROL
CCF,CITIZEN'S COMPLAINT INVESTIGAT
CCF-EVNT,CITIZEN'S COMPLAINT SPEC EVENT
CCF-PBBP,CCF-PB BLOCK PARTY
CCF-RRM,CCF-ROCK N ROLL MARATHON
CCW,CARRYING CONCEALED WEAPON
CHANGE,CHANGE CALL
CITE,ISSUE CITATION
CODE-10,SWAT STAGING (AKA C10)
CODE-100,ATTACK ON PD FAC (AKAC100)
CODE-11,SWAT STAGING (AKAC11)
CODE-12,SWAT EMERGENCY RESPONSE
CODE-5,STAKEOUT (AKA C5)
CODE-6,STAYOUT OF AREA (AKAC6)
CODE10,SWAT STAGING (AKA C10)
CODE100,ATTACK ON PD FAC (AKAC 100)
CODE11,SWAT STAGING (AKA C11)
CODE12,SWAT EMERGENCY RESPONSE
CODE5,STAKEOUT (AKA C5)
CODE6,STAYOUT OF AREA (AKA C6)
COURT,1186 COURT
CW,CHECK THE WELFARE
DC,DESK CALL
DC-S,DESK CALL (SCHOOL)
DEMO,DEMONSTRATION CALLS
DRAGNET,ILLEGAL STREET RACING
DRONE,ANY CALL RELATED TO A DRONE
DRUN,HOMELAND SECURITY CHECKS
EJECT,EJECTED FROM AN EVENT
ESCAPE,ESCAPE/ESCAPEE
EVAC,EVACUATE CITIZENS
EVID,PICK UP EVIDENCE
EXPLO,EXPLOSION 
FC,FRONT COUNTER CLOSURES
FD,FLAG DOWN/FIELD INITIATED
FIREHZRD,FIREWORK HAZARD
FIREWORK,ALL UNITS INFORMATION
FJ,FOUND JUVENILE
FOOT,FOOT PATROL/FIELD INITIATED
FOUND,FOUND PROPERTY
FP,FOOT PURSUIT (AKA SPURS)
FS,FOUND SENILE
FU,FOLLOW-UP BY FIELD UNIT
G&E,SECURITY CHECK-POWER SYSTEM
GPSPAL,GPS PAROLE VIOLATION
HATEINV,HATE CRIME INVESTIGATION
HOOD,HOOD A PARKING METER
HZRD,HAZARDOUS CONDITION
INFO,INFORMATION FOR DISPATCHERS
INFOCHP,INFORMATION FOR CHP
INFOT,"INFO ON TRAFFIC,HIT&RUN"
INFOX,XTRA PATROL INFO FOR FIELD
JST,JUVENILE SERVICE TEAM HOTLINE
LASER,LASER SCOPE-DRAWING/EXHIBITING
LOGON,LOGON (DO NOT DELETE IT)
LOJACK,STOLEN VEH-LOJACK
LOST,REPORT OF LOST PROPERTY/PLATE
LUNCH,C7 10-10
MCTSTP,"TRAFFIC STOP,FOR TMPOUT"
MEETING,IN A MEETING (AKA MTG)
MEXICO,LIAISON UNITS VISITING MEXICO
MFF,MOBILE FIELD FORCE ACTIVATION
MJ,MISSING JUV OF TENDER YEARS
MP,"MISSING PERSON, REPORT EVAL"
MS,MISSING SENILE
MTG,IN A MEETING/OUT OF SERVICE
MUTAID,INTERAGENCY MUTUAL AID
NARC,NARCOTICS ACTIVITY
OVO,OVERSIZED VEHICLE ORDINANCE
PAPER,FINISH 1110/FIELD INITIATED
PARTY,LOUD PARTY
PARTYCR,LOUD PARTY-COST RECOVERY
PHONE,SECURITY CHECK-PHONE SYSTEM
POP,PROBLEM ORIENTED POLICING
PORT,BORDER/PORT RUNNER A/U
PRISPC,PRSIONER PROCESSING CTR
PRT,PRT ASSIST
PSI,PUBLIC SERVICE INQUIRY
REPORT,CRIME CASE NUMBER REQUEST
RESCUE,RESCUE CITIZENS
RJ,"RUNAWAY JUVENILE, REPORT"
ROUTE,ROUTE SLIP (FLD INVESTIGATION)
ROUTINE,OUT OF SERVICE ACTIVITY
RRM,ROCK N ROLL MARATHON
RRM-1185,ROCK N ROLL 1185
RRM-PSI,ROCK N ROLL PSI
RRM-TOWS,VEHICLES TOWED DUE TO RRM
SCALP,TICKET SCALPER
SCHOOL,SCHOOL DETAIL
SELENF,SELECTIVE ENFORCEMENT
SHOPS,INFORMATION FOR SHOPS
SIG,SIGALERT
SKATE,SKATEBOARDERS
SLEEPER,SLEEPER
SP,SUBJECT PURSUIT (AKASPURS)
SPAN,BILINGUAL TALLY INFO
SPURS,FOOT PURSUIT
STOP,"TRAFFIC STOP,FOR TMPOUT"
STREET,STREET INFORMATION
T,TRAFFIC STOP
TAGGER,"TAGGER VANDALISM, IN PROGRESS"
TARASOFF,TARASOFF REPORT
TLO,TERRORISM LIAISON OFFICER
TP,TRAFFIC PURSUIT (AKA TPURS)
TPURS,TRAFFIC PURSUIT
TPURSCR,TRAFFIC PURSUIT-COST REC
TRO,"TRO VIOLATION, REPORT"
VARDA,VARDA ALARM
WARRANT,WARRANT
