COUNTY,PARKING,FEE,LATITUDE,LONGITUDE,NAME,LOCATION,DESCRIPTION
Del Norte,Yes,No,41.772465,-124.243469,Garth's Beach,"Radio Rd., 0.3 mi. N.W. of Washington Blvd./Pebble Beach Dr. intersection",Long curve of sand
Del Norte,Yes,No,41.75604000000001,-124.22061,Pebble Beach Access,"Pebble Beach Dr. near Pacific Ave., Crescent City","Pullouts for parking, nice views"
Del Norte,Yes,No,41.751164,-124.215993,Preston Island,"Pebble Beach Dr. and Condor St., Crescent City",Cobble beach
Del Norte,Yes,No,41.750733,-124.211656,Brother Jonathan Park / Vista Point,"Pebble Beach Dr. and 9th St., Crescent City","Grassy park with playground, overlooks the sea"
Del Norte,No,No,41.74962100000001,-124.20822,Sixth Street Accessway,"W. end of 6th St., Crescent City",Cobble beach with driftwood
Del Norte,Yes,No,41.749173,-124.207433,Fifth Street Accessway,"W. end of 5th St., Crescent City",Cobble beach with driftwood
Del Norte,Yes,No,41.748008,-124.205456,Third Street Accessway,"W. end of 3rd St., Crescent City",Cobble beach with driftwood
Del Norte,Yes,No,41.747182,-124.203058,Path at Oceanfront Lodge,"Front and ""A"" Streets, Crescent City",Path to beach on N. side of hotel
Del Norte,Yes,Yes,41.744063,-124.203092,Crescent Lighthouse at Battery Point,"S. end of ""A"" St., Crescent City",Lighthouse is 200 yards from shore; accessible on foot at low tide only
Del Norte,Yes,No,41.747816,-124.19888799999998,Northcoast Marine Mammal Center,"424 Howe Dr., Crescent City","Animals undergoing rehab may be viewed, gift store"
Del Norte,Yes,No,41.743691,-124.197594,B Street Pier,"Foot of B St., Crescent City",Public pier
Del Norte,Yes,No,41.748518,-124.196581,Beach Front Park,"Between Front St. and Howe Dr., Crescent City","Sports fields, indoor swimming pool"
Del Norte,Yes,Yes,41.751853,-124.19163799999998,Shoreline Campground,"W. of Sunset Circle Dr., Crescent City",Public shoreline access
Del Norte,Yes,No,41.752184,-124.191658,Crescent City Coastal Trail,Point St. George to Crescent City Harbor,Part of California Coastal Trail
Del Norte,Yes,No,41.744845,-124.187673,Crescent City Harbor,"W. of Hwy. 101 and Citizens Dock Rd., Crescent City","Public fishing and boating facilities, restaurants, recreational equipment"
Del Norte,Yes,Yes,41.742069,-124.182538,Crescent City Harbor Boat Launch,"Anchor Way, Crescent City Harbor",Two-lane boat launch ramp
Del Norte,Yes,No,41.520013,-124.067458,Redwood National Park,"Off Hwy. 101, N. of Orick","Over 110,000 acres, redwood forest, beaches, trails, in Del Norte and Humboldt Counties"
Del Norte,Yes,No,41.752954,-124.194428,Redwood National & State Parks Information Center,"1111 2nd St., Crescent City",Maps and guidebooks available
Del Norte,Yes,No,41.743018,-124.169157,Crescent Beach,"W. of Hwy. 101, 1 mi. S. of Crescent City","Wide sandy beach, surfing"
Del Norte,Yes,No,41.72741,-124.15198,Crescent Beach Picnic Area,"Enderts Beach Rd., .5 mi. S. of Hwy. 101",A scenic overlook is at S. end of Enderts Beach Rd.
Del Norte,Yes,No,41.705843,-124.142713,Crescent Beach Overlook,S. end of Enderts Beach Rd.,"Scenic views, trailhead"
Del Norte,Yes,No,41.700833,-124.140885,Nickel Creek Campground,.5 mi. S. of end of Enderts Beach Rd.,"Primitive campsites, trail leads S. into Del Norte Coast Redwoods State Park"
Del Norte,Yes,No,41.697389,-124.141337,Enderts Beach,.5 mi. S. of end of Enderts Beach Rd.,Access by trail
Del Norte,Yes,Yes,41.702407,-124.097994,Mill Creek Campground,"2.5 mi. E. of Hwy. 101, 7 mi. S. of Crescent City",Open summer only
Del Norte,Yes,Yes,41.662281,-124.126333,Del Norte Coast Redwoods State Park,"Along Hwy. 101, 7 mi. S. of Crescent City",Among California's largest state parks
Del Norte,Yes,No,41.602533,-124.100755,Wilson Creek  Beach,"W. of Hwy. 101, 5.5 mi. N. of Klamath",Trail leads S. to Lagoon Creek Access
Del Norte,Yes,No,41.593835,-124.09868,Lagoon Creek Access,"W. of Hwy. 101, 5 mi. N. of Klamath","Freshwater lagoon, Coastal Trail leads S. 4 mi. to Klamath Overlook"
Del Norte,Yes,No,41.554414,-124.086422,Klamath Overlook (Requa Overlook),2.5 mi. W. of Hwy 101 on Requa Rd.,"Views of Klamath River mouth, Coastal Trail leads N. to Lagoon Creek"
Del Norte,Yes,No,41.548172,-124.066624,Requa,"Off Hwy. 101, 18.5 mi. S. of Crescent City",Historic hamlet
Del Norte,Yes,No,41.53576500000001,-124.075277,Klamath River Mouth,"Klamath Beach Rd., W. of Klamath",Informal roadside parking
Del Norte,Yes,No,41.527155,-124.038651,Town of Klamath," Hwy. 101, 19 mi. S. of Crescent City","Visitor attractions, lodging"
Del Norte,Yes,No,41.525757,-124.07585,Flint Ridge Campground,1 mi. S. of Klamath River mouth off Coastal Drive,"Primitive campsites, Coastal Trail leads N. to Klamath River"
Del Norte,Yes,No,41.495061,-124.069343,Coastal Trail (Del Norte),S. of Klamath River mouth to Newton B. Drury Parkway,"Coastal Dr. closed to vehicles S. of Alder Camp Rd., trail continues south"
Humboldt,Yes,No,41.323143,-124.045315,Redwood National Park (Humboldt),Along the coast from Crescent Beach in Del Norte Co. to Freshwater Lagoon in Humboldt Co. and inland along Redwood Creek,"Over 110,000 acres, redwood forest, beaches, trails, in Del Norte and Humboldt Counties"
Humboldt,No,No,41.465888,-124.055697,Carruthers Cove Trail,Off Newton B. Drury Scenic Parkway,"Footpath to beach, part of California Coastal Trail"
Humboldt,Yes,No,41.456815,-124.046309,Coastal Trail (Humboldt),"Off Newton B. Drury Scenic Parkway, 10 mi. N. of Orick","Coastal Dr. closed to vehicles N. of Newton B. Drury Prkwy, trail continues north"
Humboldt,Yes,No,41.405656,-124.043198,Prairie Creek Redwoods State Park,"W. of Hwy. 101, 5.5 mi. N. of Orick",Magnificent old-growth redwood groves
Humboldt,Yes,No,41.404069,-124.065661,Fern Canyon,"End of Davison Rd., 8 mi. W. of Hwy. 101","Lush vegetation, rough access road"
Humboldt,Yes,Yes,41.396659,-124.067361,Gold Bluffs Beach,"Off Davison Rd., 6 mi. W. of Hwy. 101",Broad sandy beach
Humboldt,Yes,Yes,41.383733,-124.06918600000002,Gold Bluffs Campground,"Off Davison Rd., 5 mi. W. of Hwy. 101","Beachfront camping, showers available"
Humboldt,Yes,Yes,41.358993,-124.029908,Elk Prairie Campground,"Off Newton B. Drury Scenic Parkway, 5.5 mi. N. of Orick ","RV and tent camping, trails"
Humboldt,Yes,No,41.327076,-124.015982,Lost Man Creek,1 mi. E. of Hwy. 101,Within Redwood Nat'l/State Parks
Humboldt,Yes,No,41.321711,-124.04098799999998,Elk Meadow,"Davison Rd., W. of Hwy. 101","Roosevelt elk graze in the meadow, part of Redwood Nat'l/State Parks"
Humboldt,Yes,No,41.303882,-124.01875,Lady Bird Johnson Grove,"2.5 mi E. of Hwy. 101, N. of Orick",Within Redwood Nat'l/State Parks
Humboldt,Yes,No,41.292668,-124.088969,Orick Beach Access,"End of Hufford Rd. off Hwy. 101, 1.5 mi. N.W. of Orick",Rough road to creek mouth
Humboldt,Yes,No,41.286727,-124.090668,Thomas H. Kuchel Visitor Center,"W. of Hwy. 101, 2 mi. S.W. of Orick","Exhibits, gift shop, Redwood Nat'l/State Parks"
Humboldt,Yes,No,41.283549,-124.091275,Redwood Creek Beach Picnic Area,"W. of Hwy. 101, 2 mi. S.W. of Orick",Next to Redwood Nat'l Park visitor center
Humboldt,Yes,No,41.26812,-124.095032,Freshwater Lagoon,"Next to Hwy. 101, 3 mi. S. of Orick","Trout fishing, boat ramp at N. end of lagoon, ocean beach access"
Humboldt,Yes,No ,41.258273,-124.098256,Stone Lagoon,"Off Hwy. 101, 5 mi. S. of Orick","Part of Humboldt Lagoons State Park, visitor center on E. side of lagoon"
Humboldt,Yes,No,41.232611,-124.083498,Stone Lagoon Visitor Center,"Off Hwy. 101, 5.5 mi. S. of Orick","Part of Humboldt Lagoons State Park, kayak rentals adjacent"
Humboldt,Yes,No,41.224744,-124.106093,Dry Lagoon,"Off Hwy. 101, 6.5 mi. S. of Orick",Part of Humboldt Lagoons State Park
Humboldt,Yes,No,41.190843,-124.105966,Big Lagoon,"East Shore of Big Lagoon, off Hwy. 101",Part of Humboldt Lagoons State Park
Humboldt,Yes,Yes,41.164537,-124.130981,Big Lagoon County Park,"Off Hwy. 101, 12  mi. S. of Orick",Boat launch ramp
Humboldt,Yes,Yes,41.134846,-124.151694,Patrick's Point State Park,"Off Hwy 101, 5.3 mi. N. of Trinidad","Scenic rocky shoreline, forest, trails"
Humboldt,Yes,No,41.123095,-124.150333,Trinidad Roadside Rest Northbound,"Hwy. 101, 4  mi. N. of Trinidad",Hwy. rest area
Humboldt,Yes,No,41.092164,-124.150545,Trinidad Roadside Rest Southbound,"Hwy. 101, 2 mi. N. of Trinidad",Hwy. rest area
Humboldt,Yes,No,41.06104600000001,-124.146323,Trinidad State Beach,"Off Trinity St., N. of Main St., Trinidad",Views of offshore rocks
Humboldt,Yes,No,41.06822,-124.148884,College Cove,"Stagecoach Rd., 1 mi. N. of Trinidad State Beach main entrance",Part of Trinidad State Beach
Humboldt,Yes,No,41.05426,-124.150686,Trinidad Head,S.W. of town of Trinidad,Loop trail starts at W. end of Edwards St.
Humboldt,Yes,No,41.055277,-124.147742,Trinidad Harbor,"W. end of Edwards St., Trinidad","Fishing pier, boat launch, restaurant"
Humboldt,Yes,No,41.058259,-124.143088,Axel Lindgren Memorial Stairs,"Foot of Trinity St. at Edwards St., Trinidad",Steep stairs to beach
Humboldt,Yes,No,41.039687,-124.1206,Luffenholtz Beach and County Park,"W. of Scenic Dr., 2 mi. S. of Trinidad",Steep trail and stairs to beach
Humboldt,Yes,No,41.036249,-124.118724,Houda Point Access,"W. of Scenic Dr., 2.3 mi. S of Trinidad","Steep trails to pocket beaches, surf spot"
Humboldt,Yes,No,41.029205,-124.111552,Moonstone County Park,"W. of Scenic Drive., 3 mi. S. of Trinidad","Wide beach, surfing, bodyboarding"
Humboldt,Yes,No,41.012445,-124.112822,Little River State Beach,"W. of Hwy. 101, 4 mi. S. of Trinidad","Roadside parking, paths through dunes"
Humboldt,Yes,Yes,40.995553,-124.114274,Clam Beach County Park,"W. of Hwy. 101, 3.5 mi. N. of  McKinleyville","Clamming, beachcombing, horseback riding"
Humboldt,Yes,No,40.974686,-124.117523,McKinleyville Vista Point,"Hwy. 101, 6.5 mi. S. of Trinidad","Panoramic views, southbound Hwy. 101 only"
Humboldt,Yes,No,40.941756,-124.127073,Mad River Bluffs Park,"End of Hiller Rd., W. of Hwy. 101",Reach Hiller Rd. from Central Ave. (no Hwy. 101 exit)
Humboldt,Yes,No,40.922856,-124.120327,Hammond Trail,"W. of Hwy. 101, from Clam Beach S. to the Mad River, McKinleyville","Multi-use path, enter at various points including old railroad bridge near Mad River Beach County Park"
Humboldt,Yes,No,40.929264,-124.132859,Mad River Beach County Park,"End of Mad River Rd., W. of Hwy. 101","Ocean and river access, boat launch ramp"
Humboldt,Yes,No,40.918439,-124.080289,Azalea State Reserve,"E. of Hwy. 101 on North Bank Rd., McKinleyville",Nature trail
Humboldt,No,No,40.750811,-124.213551,Humboldt Bay,S. and W. of Eureka,"Access from Eureka, North Spit, and South Spit"
Humboldt,Yes,No,40.856411,-124.093447,Arcata Marsh and Wildlife Sanctuary,"569 South ""G"" St., Arcata","Ponds, trails, birding, visitor center"
Humboldt,Yes,Yes,40.825929,-124.08246499999998,Eureka KOA Campground,"4050 N. Hwy. 101, 2 mi. S. of Arcata","RV and tent camping, swimming pool"
Humboldt,Yes,No,40.860899,-124.159217,Ma-Le'l Dunes South,"Young Ln. off Hwy. 255, Manila",From Young Ln. turn left to dunes and beach parking
Humboldt,Yes,No,40.872635,-124.152304,Ma-Le'l Dunes North,"Young Ln. off Hwy. 255, Manila",From Young Ln. turn right
Humboldt,Yes,No,40.851847,-124.162429,Manila Community Park,"E. end of Victor Ave., Manila","Playground, bay access"
Humboldt,Yes,No,40.845038,-124.173252,Manila Dunes Recreation Area,"1611 Peninsula Dr., W. of Hwy. 255, Manilla","Loose sand trails, enter next to Manila Community Center"
Humboldt,Yes,No,40.833647,-124.177426,North Spit,"Off Hwy. 255, S.W. of Arcata","Long sandy beach, dunes, rough surf"
Humboldt,Yes,No,40.799267,-124.204891,Accessway to Ocean Beach,New Navy Base Rd. opposite Bay St.,"Parking pull-out, beach adjacent"
Humboldt,Yes,No,40.766158,-124.223251,Samoa Dunes Recreation Area,"S. end of New Navy Base Rd., off Hwy. 255, North Spit",Off-road vehicle recreation
Humboldt,Yes,No,40.77229000000001,-124.213353,Samoa Boat Ramp County Park,"New Navy Base Rd., 4.4 mi. S. of Hwy. 255 intersection",Boat launch ramp
Humboldt,Yes,No,40.80538,-124.142686,Eureka Slough Boat Ramp,"E. end of 3rd St. off Hwy. 101, Eureka",Hand launch ramp behind Target store
Humboldt,Yes,No,40.807891,-124.15442,Samoa Bridge Launching Facility,"Waterfront Dr., under the Samoa Bridge, Eureka",Launching of trailered or small boats
Humboldt,Yes,No,40.807648,-124.162268,Woodley Island Marina,"Off Hwy 255, Eureka",Commercial and recreational marina
Humboldt,Yes,No,40.82009,-124.181618,Humboldt Bay Maritime Museum,"77 Cookhouse Rd., Samoa","Located next to Samoa Cookhouse, exhibits, bay cruises"
Humboldt,Yes,No,40.820688,-124.190059,Samoa Beach,"New Navy Base Rd., .9 mi. S. of Hwy. 255","Paved parking area, path to beach"
Humboldt,Yes,No,40.805931,-124.167472,Eureka Boardwalk,"Waterfront from C St. to F St., Eureka",Pedestrian esplanade
Humboldt,Yes,No,40.79516,-124.120706,Eureka Slough / Dead Mouse Marsh,"E. end of Park St., Eureka","Marsh habitat, trails"
Humboldt,Yes,No,40.802742,-124.178152,Eureka Public Marina and Wharfinger Building,"Waterfront Dr., Eureka","Marina, boat launch ramp, picnic tables"
Humboldt,Yes,No,40.804653,-124.174404,Eureka Mooring Basin,"Commercial St. and 1st St., Eureka",Bay access
Humboldt,Yes,No,40.790727,-124.188564,Del Norte Street Pier,"Foot of Del Norte St., Eureka",Public fishing
Humboldt,Yes,No,40.776685,-124.188128,Fort Humboldt State Historic Park,"3431 Fort Ave., off Hwy. 101, Eureka",Native American history and logging exhibits
Humboldt,Yes,No,40.776216,-124.193834,Elk River Access Area,"W. end of Truesdale St., W. of Hwy. 101, Eureka",Additional parking at end of Hilfiker Ln.
Humboldt,Yes,No,40.772446,-124.195404,Hikshari' Trail,"W. end of Hilfiker Ln., Eureka",1.75-mile-long trail runs N. and S. along bayshore
Humboldt,Yes,No,40.733874,-124.247045,Mike Thompson Wildlife Area / South Spit,"S. Jetty Rd., N. of Table Bluff Rd.","Four-mile long beach and dunes, fishing at jetty"
Humboldt,Yes,No,40.739786,-124.218798,King Salmon,"Off Buhne Dr., W. of Hwy. 101, 1 mi. N. of Fields Landing","Sport fishing, charter boats"
Humboldt,Yes,No,40.741984,-124.21698899999998,King Salmon Shoreline Access,"W. of Buhne Dr., King Salmon","Shoreline public access extends bayward of former powerplant, roadside parking"
Humboldt,Yes,No,40.726405,-124.220585,Fields Landing County Park,"Foot of Railroad Ave., Fields Landing","Boat launch ramp, kayak launch spot"
Humboldt,Yes,No,40.693757,-124.213622,Humboldt Bay National Wildlife Refuge,"Humboldt South Bay, W. of Hwy. 101","Visitor center on Ranch Rd., trails"
Humboldt,Yes,No,40.677125,-124.22216,Hookton Slough,"Off Hookton Rd., 2 mi. W. of Hwy. 101","Hookton Slough Trail access, non-motorized boat launch"
Humboldt,Yes,No,40.696998,-124.273978,Table Bluff County Park,"End of Table Bluff Rd. off Hookton Rd., 5 mi. W. of Hwy. 101, Loleta",Views of Humboldt Bay and ocean
Humboldt,Yes,No,40.687805,-124.277938,Eel River Wildlife Area/Ocean Ranch Unit,"End of Table Bluff Rd., W. of Hwy. 101","Wildlife viewing and hunting, limited access"
Humboldt,Yes,No,40.63551500000001,-124.050493,Headwaters Forest Reserve - North access,"At the end of Elk River Rd., 6.7 mi. S. of Eureka",Hiking trail
Humboldt,No,No,40.649499,-124.287448,Eel River Wildlife Area/Cannibal Island Unit,"W. End of Cannibal Island Rd., 4 mi. from Loleta",Wildlife viewing and hunting
Humboldt,Yes,No,40.642593,-124.303366,Crab County Park,"W. end of Cannibal Island Rd., 4 mi. W. of Hwy. 101, Loleta",Near Eel River mouth
Humboldt,Yes,No,40.638098,-124.282832,Pedrazzini Boat Ramp,"Off Cock Robin Island Rd., .3 mi. S. of Cannibal Island Rd. ","Small boat launch, access to Eel River"
Humboldt,Yes,No,40.575993,-124.261441,Ferndale,"Hwy. 211, 5 mi. S.W. of Hwy. 101","Victorian architecture, lodging, dining"
Humboldt,Yes,Yes,40.586154,-124.265565,Humboldt County Fairgrounds Campground,"5th St. between Van Ness and Arlington avenues, Ferndale",Camping
Humboldt,No,No,40.597904,-124.327088,Sounding Seas/Eel River Estuary Preserve,Shoreline N. of Centerville Beach County Park,Call ahead for access information
Humboldt,Yes,No,40.57352,-124.350095,Centerville Beach County Park,"Centerville Rd., 5 mi. W. of Ferndale",Limited off-highway vehicle use allowed; call ahead
Humboldt,Yes,No,40.561357,-124.353363,Fleener Creek Beach Trail,"Centerville Rd., 6 mi. S.W. of Ferndale",Trail to beach
Humboldt,Yes,No,40.543604,-124.357396,Guthrie Creek Beach Trail,"Centerville Rd., 8 mi. S.W. of Ferndale",Mile-long trail to beach
Humboldt,Yes,No,40.407186,-124.390964,Mattole Road,Between Singley Creek and McNutt Gulch,"Shoreline access at 1 mi., 2 mi., and 3 mi. S. of Singley Creek and at Russell Chambers Bridge across McNutt Gulch"
Humboldt,Yes,Yes,40.292685,-124.355704,Mattole River and Beach,"W. end of Lighthouse Rd., 5 mi. W. of Petrolia",Remote beach at river mouth
Humboldt,No,No,40.249453,-124.350265,Punta Gorda Lighthouse,3 mi. S. of Mattole River Beach on Lost Coast Trail,"Hike-in access, check tide table first"
Humboldt,Yes,Yes,40.266619,-124.2302,A.W. Way County Park,"Mattole Road, 6 mi. S.E. of Petrolia",Park overooks Mattole River
Humboldt,Yes,Yes,40.327309,-123.925953,Humboldt Redwoods State Park,"Hwy. 101, 20 mi. N. of Garberville",Old-growth redwood groves
Humboldt,Yes,No,40.056779,-123.975849,King Range Visitor Center,"Off Shelter Cove Rd., 1 mi. W. of Thorn Junction","Maps, information, and exhibits"
Humboldt,Yes,No,40.166016,-124.214507,King Range National Conservation Area,Honeydew in Humboldt Co. to Point No Pass in Mendocino Co.,Wilderness hiking and camping
Humboldt,No,No,40.167341,-124.223636,Lost Coast Trail,"From Mattole River Beach to Black Sands Beach, Shelter Cove","24.8-mile wilderness trail, parts impassable at high tide"
Humboldt,Yes,No,40.23132,-124.111015,Honeydew Creek,"Wilder Ridge Rd., 1.1 mi. S. of Honeydew",Part of King Range National Conservation Area
Humboldt,Yes,Yes,40.105785,-124.065282,Horse Mountain Creek Campground,"King Peak Rd., 6.5 mi. N. of Shelter Cove Rd.",Water available
Humboldt,Yes,Yes,40.083249,-124.056994,Tolkan Campground,"King Peak Rd., 3.6 mi N. of Shelter Cove Rd.",Inland campsites
Humboldt,Yes,No,40.047708,-124.079655,Black Sands Beach,"N. end of Beach Rd., Shelter Cove",Southern terminus of Lost Coast Trail
Humboldt,No,No,40.039156,-124.079252,Little Black Sands Beach,"W. end of Dolphin Dr., Shelter Cove","Overlook, no facilities"
Humboldt,Yes,No,40.02999000000001,-124.080505,Abalone Point,"Lower Pacific Dr., Shelter Cove",Views of the Lost Coast
Humboldt,Yes,No,40.028341,-124.076646,Seal Rock,"Lower Pacific Dr., Shelter Cove",1/4 mi. S. of Abalone Point
Humboldt,Yes,No,40.022657,-124.069245,Mal Coombs Park,"Lower Pacific Dr., Shelter Cove","Shoreline access, one-half mi. S. of Seal Rock"
Humboldt,Yes,No,40.025262,-124.06464,Shelter Cove,W. end of Shelter Cove Rd.,"Residential community, lodging, dining"
Mendocino,Yes,Yes,39.94266,-123.964804,Needle Rock,"Briceland Rd./Mendocino Co. Route 435, 7 mi. S.W. of Four Corners",Part of Sinkyone Wilderness State Park
Mendocino,No,Yes,39.920781,-123.940972,Sinkyone Wilderness State Park,Between Four Corners and Usal Beach Camp,"Wilderness park, limited facilities"
Mendocino,Yes,Yes,39.913664,-123.938579,Bear Harbor,Near S. end of Briceland Rd./ Route 435,Campsites near Lost Coast Trail
Mendocino,No,Yes,39.873475,-123.91083799999998,Lost Coast Trail,"From Orchard Crk to Usal Beach Camp, Sinkyone Wilderness St Prk","Trail runs the length of the park, mostly inland from the shore"
Mendocino,No,Yes,39.884775,-123.911039,Wheeler Camp,"Lost Coast Trail, 12 mi. N. of Usal Camp, 4.7 mi. S. of Orchard Creek",Hike-in campsites
Mendocino,No,Yes,39.861199,-123.90072,Little Jackass Creek,"Lost Creek Trail, 7.5 mi. N. of Usal Camp, 9.2 mi. s. of Orchard",Hike-in campsites
Mendocino,No,Yes,39.853115,-123.886136,Anderson Gulch,Lost Coast Trail. 5 mi. N. of Usal Camp,Hike-in campsites
Mendocino,Yes,Yes,39.83136500000001,-123.844782,Usal Beach Campground,"Usal Rd., 6 mi. N. of Hwy. One turnoff at milepost 90.88",Car-camping in Sinkyone Wilderness State Park
Mendocino,No,No,39.892854,-123.88262,InterTribal Sinkyone Wilderness,E. of Sinkyone Wilderness State Park,Native American-managed resource area; call for information
Mendocino,Yes,No,39.709496,-123.806653,Overlooks at Hardy and Juan Creeks,"W. Side of Hwy. One, 6.3 and 5.8 mi. N. of Westport",Roadside pull-outs
Mendocino,Yes,Yes,39.682169,-123.791354,Westport-Union Landing State Beach,"W. of Hwy. One, 3 mi. N. of Westport","Scenic shoreline, limited facilities"
Mendocino,Yes,Yes,39.649366,-123.784856,Westport Beach RV Park and Campground,"Hwy. One, .5 mi. N. of Westport","Day use, beach access"
Mendocino,Yes,No,39.642884,-123.785073,Pete's Beach,"Hwy. One, .3 mi. N. of Westport",Part of Westport-Union Landing State Beach; stairs at S. end of pull-out
Mendocino,Yes,No,39.638303,-123.785648,Westport Headlands - Viewpoint,"Omega Dr., off Hwy. One, Westport",Handicapped-accessible parking and path to blufftop viewpoint
Mendocino,Yes,No,39.636968,-123.786147,Westport Headlands,W. of Hwy. One at Westport,"Stairs to beach opposite Pelican Rd., hand boat launch"
Mendocino,Yes,No,39.613345,-123.78167,Chadbourne Gulch,"Hwy. One, 2 mi. S. of Westport","Mile-long beach, views of offshore rocks"
Mendocino,Yes,No,39.599261,-123.784704,Bruhel Point Bluff,"W. of Hwy. One, 4.5 mi. N. of Ten Mile River","Pull-out at Milepost 74.09, trail to bluff edge"
Mendocino,No,No,39.58197,-123.772093,Newport Trail,"W. of Hwy One, 1.9 mi. N. of Ten Mile River","Parallels Hwy. One from milepost 72.15 to 73.22, parking area is planned"
Mendocino,Yes,No,39.570899,-123.772215,South Kibesillah Gulch View Area,"W. of Hwy. One, 2.1 mi. N. of Ten Mile River",Views of offshore rocks
Mendocino,Yes,No,39.559011,-123.766093,Seaside Creek Beach,"W. of Hwy. One, 1 mi. N. of Ten Mile River",Beach near mouth of Ten Mile River
Mendocino,Yes,No,39.545039,-123.760729,Ten Mile River Viewpoint,"S. end of Ten Mile River Bridge, W. of Hwy. One","Views of river and dunes from the bridge, interpretive panels"
Mendocino,No,No,39.523192,-123.776148,Ten Mile Beach and Dunes,S. of Ten Mile River,"4.5-mile long beach, part of MacKerricher State Park"
Mendocino,Yes,Yes,39.489109,-123.789546,MacKerricher State Park,"Runs from Ten Mile River S. to Glass Beach, Fort Bragg",Eight miles of shoreline
Mendocino,Yes,No,39.502079,-123.786988,Ward Avenue,W. end of Ward Ave. off Hwy. One,Part of MacKerricher State Park
Mendocino,Yes,Yes,39.48937,-123.795284,Lake Cleone,"End of Mill Creek Dr., MacKerricher State Park",Freshwater lake within MacKerricher State Park
Mendocino,Yes,No,39.489515,-123.804149,Laguna Point,"End of Mill Creek Dr., MacKerricher State Park","Boardwalk, harbor seal haul-out"
Mendocino,Yes,No,39.461549,-123.806965,Haul Road Access,"From Glass Beach N. to MacKerricher State Park, Fort Bragg",Oceanfront multi-use trail links MacKerricher State Park and Fort Bragg
Mendocino,Yes,No,39.458811,-123.808548,Pudding Creek Beach,"Hwy. One at Pudding Creek, Fort Bragg",Beach under the trestle bridge
Mendocino,Yes,No,39.452017,-123.812705,Glass Beach,"W. end of Elm St., Fort Bragg",Pebbles and surf-polished glass
Mendocino,Yes,No,39.450761,-123.812533,Noyo Headlands Park,W. end of Elm St.,Paved path extends south from Elm St. along bluff edge
Mendocino,Yes,No,39.424008,-123.803192,Noyo Harbor,"End of Noyo Harbor Dr., Fort Bragg","Commercial fishing, restaurants, boat launch on S. bank of river"
Mendocino,Yes,No,39.423879,-123.803874,Noyo Harbor Public Viewing Area,"S. end, Noyo Harbor Dr.",Views of fishing boats and harbor activity
Mendocino,Yes,No,39.425557,-123.816406,Pomo Bluffs Park,"N. end of Cliff Way, W. of Hwy. One, Fort Bragg",Fine views
Mendocino,No,No,39.419269,-123.811196,Hare Creek Public Access,"S. of Bay View Ave., Fort Bragg","Walk S. from College of the Redwoods parking lot, turn W. at Bay View Ave. to trailhead"
Mendocino,Yes,Yes,39.409725,-123.813722,Mendocino Coast Botanical Gardens,"18220 N. Hwy. One, 2 mi. S. of Fort Bragg",Colorful gardens overlooking the ocean
Mendocino,Yes,No,39.397362,-123.819866,Belinda Point,"Near 17410 Ocean Dr., S. of Fort Bragg",Signed half-mile trail through forest to rocky shore
